idx*act*icon_color*activity_id*keep*mime_type*mtime*preview*share_scope*timestamp*title*title_set_by_user*uid
0*vu.lux.olpc.Speak*#00EA11,#5E008C*f82c3cb5f11f12c4a44d44c6f5daa8667479d868*0*NA*2011-09-03T19:34:22.242063*NA*private*1315103662*Speak Activity*1*3d2ac153-75e4-4d39-9832-3c654251efc2
1*vu.lux.olpc.Speak*#FF2B34,#FF8F00*737006e8884dd0c63b3dda2e49b4efdfd8b3352b*0*NA*2013-07-30T01:41:40.148157*NA*private*1375148500*Speak Activity*0*48efe833-0b59-4e7d-89e2-885073cd0b25
2*NA*#00EA11,#5E008C*NA*0*application/vnd.olpc-sugar*2011-11-06T13:22:51.797344*NA*NA*1320614571*telescope-12.xo*NA*fa6b16a1-f48e-4e18-b735-44347417086d
3*org.laptop.Memorize*#FF2B34,#FF8F00*8879bd0b419d7ff55c776e78af93d327d438b1df*0*application/x-memorize-project*2013-07-29T00:41:15.203908*NA*private*1375058475*Memorize Activity*0*6ebfe5b6-f57b-496b-8bbe-9dd58dc389a2
4*com.garycmartin.Moon*#00EA11,#5E008C*f055fed53b303b6f50a8b3301ad33312670bd87c*0*NA*2011-09-03T19:34:46.038137*NA*private*1315103686*Moon Activity*1*89de710e-f8a7-4389-9e72-b046c92e1a92
5*org.laptop.TamTamMini*#00A0FF,#9A5200*df9c4b24872dfc6fad736b3d6e689bff80f16843*0*NA*2013-07-22T02:01:44.234283*NA*private*1374458504*TamTamMini Activity*0*603e09c0-f9ea-4f0c-aeba-bcc1b17882c6
6*org.laptop.Terminal*#AC32FF,#FF8F00*831d0afc29d23fbd5422970ecda309ff5bf463f2*0*NA*2013-08-02T01:15:52.538456*NA*private*1375406152*Terminal Activity*0*75c13f49-02bf-45a3-9d43-16d23344217a
7*vu.lux.olpc.Maze*#AC32FF,#FF8F00*c1d36085ada3e4397d0ef75a091524a8baab5f1b*0*NA*2013-07-29T00:44:02.774010*NA*private*1375058642*Maze Activity*0*e01a35f9-b077-4d3f-9a56-9931e746ddf2
8*org.laptop.Oficina*#00A0FF,#9A5200*b410d21e9059318ec7e206706011e28eca87f7a0*0*image/png*2013-07-30T01:27:33.941319*NA*private*1375147653*Paint Activity*0*880c7132-3cd9-4f06-9cbd-12c08879bfae
9*NA*#00A0FF,#9A5200*NA*0*image/png*2013-07-14T18:21:13.385647*NA*NA*1373826073*"Screenshot of ""Analyze Journal Activity"""*NA*f5c33e3e-6049-4575-8661-36c5cc46da07
